ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
Digestive System	-0.158	9.032	0.00432900432900433	0.0147907647907648	Depleted	0.045	0.05	0.045	0.045	0.044	0.046	0.044	0.044	0.052	0.052	0.047	0.049	0.052	0.046
Endocrine System	-0.008	12.327	0.393939393939394	0.576839826839827	NotSig	0.481	0.484	0.476	0.514	0.485	0.481	0.455	0.476	0.493	0.466	0.486	0.485	0.488	0.484
Energy Metabolism	-0.044	15.807	0.00216450216450216	0.0110930735930736	Depleted	5.5	5.671	5.523	5.45	5.548	5.456	5.554	5.468	5.71	5.732	5.688	5.622	5.691	5.584
Environmental Adaptation	-0.01	10.43	0.699134199134199	0.774716274716275	NotSig	0.134	0.135	0.137	0.13	0.132	0.133	0.137	0.135	0.133	0.138	0.135	0.135	0.134	0.135
Enzyme Families	-0.035	14.24	0.0151515151515152	0.0414141414141414	Depleted	1.872	1.918	1.901	1.887	1.844	1.858	1.835	1.906	1.936	1.923	1.931	1.902	1.918	1.898
Excretory System	-0.017	8.693	0.699134199134199	0.774716274716275	NotSig	0.039	0.04	0.04	0.04	0.038	0.04	0.039	0.04	0.041	0.041	0.039	0.039	0.041	0.038
Folding, Sorting and Degradation	-0.04	14.399	0.00216450216450216	0.0110930735930736	Depleted	2.08	2.138	2.111	2.06	2.069	2.064	2.091	2.085	2.134	2.16	2.157	2.124	2.119	2.131
Genetic Information Processing	-0.028	14.446	0.0930735930735931	0.181715110286539	NotSig	2.151	2.194	2.182	2.081	2.153	2.128	2.203	2.162	2.187	2.232	2.211	2.178	2.172	2.181
Glycan Biosynthesis and Metabolism	-0.048	13.997	0.00432900432900433	0.0147907647907648	Depleted	1.554	1.607	1.583	1.512	1.543	1.542	1.585	1.561	1.594	1.635	1.62	1.608	1.584	1.603
Immune System	-0.066	8.908	0.00865800865800866	0.0253555967841682	Depleted	0.045	0.047	0.046	0.045	0.044	0.045	0.046	0.045	0.048	0.048	0.048	0.047	0.048	0.046
Immune System Diseases	-0.016	9.242	0.484848484848485	0.641251221896383	NotSig	0.057	0.058	0.057	0.061	0.057	0.058	0.054	0.056	0.059	0.057	0.057	0.058	0.058	0.057
Infectious Diseases	0.008	11.971	0.484848484848485	0.641251221896383	NotSig	0.388	0.385	0.387	0.366	0.387	0.384	0.401	0.399	0.385	0.391	0.387	0.381	0.385	0.383
Lipid Metabolism	0.007	15.36	0.937229437229437	0.937229437229437	NotSig	4.005	3.985	3.953	4.206	4.054	4.01	3.831	3.977	4.007	3.844	3.998	4.027	4.018	4.018
Membrane Transport	0.039	16.976	0.00432900432900433	0.0147907647907648	Enriched	12.719	12.378	12.58	12.607	12.54	12.86	12.892	12.836	12.349	12.393	12.226	12.403	12.543	12.353
Metabolic Diseases	-0.082	9.66	0.00216450216450216	0.0110930735930736	Depleted	0.075	0.079	0.075	0.076	0.075	0.074	0.072	0.074	0.081	0.079	0.079	0.078	0.08	0.077
Metabolism	-0.003	14.777	0.818181818181818	0.86013986013986	NotSig	2.759	2.765	2.778	2.724	2.765	2.755	2.787	2.744	2.774	2.807	2.746	2.758	2.769	2.734
Metabolism of Cofactors and Vitamins	-0.038	15.349	0.00216450216450216	0.0110930735930736	Depleted	4.021	4.128	4.037	4.006	4.05	4.001	4.047	3.986	4.151	4.173	4.135	4.097	4.12	4.092
Metabolism of Other Amino Acids	0.027	14.378	0.025974025974026	0.0665584415584416	Enriched	2.093	2.054	2.08	2.129	2.105	2.089	2.052	2.103	2.05	2.019	2.058	2.067	2.061	2.072
Metabolism of Terpenoids and Polyketides	-0.007	14.592	0.699134199134199	0.774716274716275	NotSig	2.296	2.307	2.264	2.47	2.355	2.286	2.148	2.251	2.332	2.194	2.329	2.331	2.329	2.329
Nervous System	-0.027	9.746	0.132034632034632	0.246064541519087	NotSig	0.082	0.084	0.082	0.086	0.083	0.083	0.079	0.081	0.084	0.082	0.084	0.084	0.085	0.084
Neurodegenerative Diseases	0.106	11.873	0.0411255411255411	0.0936748436748437	Enriched	0.348	0.324	0.349	0.309	0.352	0.348	0.375	0.357	0.308	0.334	0.323	0.327	0.316	0.333
Nucleotide Metabolism	-0.021	14.844	0.00216450216450216	0.0110930735930736	Depleted	2.878	2.921	2.876	2.895	2.9	2.876	2.858	2.864	2.922	2.917	2.942	2.912	2.9	2.935
Poorly Characterized	-0.013	15.628	0.0649350649350649	0.140123034859877	NotSig	4.969	5.013	5.006	4.925	4.942	4.959	5.014	4.966	5.024	5.065	4.992	4.996	5.016	4.986
Replication and Repair	-0.033	15.997	0.00216450216450216	0.0110930735930736	Depleted	6.34	6.485	6.408	6.339	6.352	6.308	6.338	6.292	6.469	6.538	6.53	6.454	6.427	6.491
Sensory System	-0.411	1.405	0.0930735930735931	0.181715110286539	NotSig	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signal Transduction	0.019	14.687	0.699134199134199	0.774716274716275	NotSig	2.497	2.464	2.542	2.326	2.419	2.513	2.638	2.546	2.443	2.58	2.432	2.452	2.452	2.426
Signaling Molecules and Interaction	-0.01	10.853	0.30952380952381	0.470017636684303	NotSig	0.18	0.181	0.178	0.185	0.182	0.18	0.175	0.18	0.183	0.178	0.18	0.182	0.182	0.182
Transcription	-0.006	14.501	0.484848484848485	0.641251221896383	NotSig	2.251	2.261	2.247	2.318	2.233	2.258	2.188	2.263	2.272	2.232	2.259	2.257	2.277	2.267
Translation	-0.034	15.2	0.00432900432900433	0.0147907647907648	Depleted	3.625	3.711	3.662	3.623	3.628	3.596	3.617	3.622	3.701	3.721	3.764	3.688	3.654	3.737
Transport and Catabolism	0.006	11.839	0.937229437229437	0.937229437229437	NotSig	0.344	0.342	0.337	0.366	0.351	0.344	0.323	0.34	0.345	0.327	0.344	0.346	0.342	0.348
Xenobiotics Biodegradation and Metabolism	0.051	15.598	0.00216450216450216	0.0110930735930736	Enriched	4.834	4.666	4.75	4.96	4.928	4.852	4.761	4.754	4.682	4.545	4.63	4.723	4.729	4.686
