Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Thiohalorhabdus	0.01	0.02	0.02	0.02	0	0.01	0.04	0.03	0.05	0.01	0.07	0.03	0.01	0.01	0.03	0.05	0.03	0.08	0.1
Tumebacillus	0	0	0	0.01	0.01	0.03	0.04	0.04	0	0.02	0.19	0.01	0	0.01	0	0.09	0	0	0.1
Turicibacter	0	0.01	0	0.01	0	0	0.01	0.02	0.02	0.01	0	0.04	0.01	0	0.02	0	0.01	0	0.1
Undibacterium	0.01	0	0	0	0.03	0.03	0	0.01	0.01	0.02	0.01	0.04	0.01	0.02	0.01	0.02	0.02	0.01	0.1
Pseudarthrobacter	0	0	0	0.01	0	0	0	0.01	0.01	0.01	0.01	0.02	0	0.01	0.01	0.02	0.02	0	0.1
Bauldia	0.01	0	0.01	0.01	0.04	0.03	0.05	0.01	0.03	0.03	0.01	0.04	0.01	0	0.02	0.01	0	0.03	0.1
Xenophilus	0.07	0.02	0.04	0	0	0	0	0	0.04	0.01	0	0.03	0.03	0	0	0	0.03	0	0.1
Blastococcus	0.04	0.21	0.09	0.08	0.02	0.07	0.12	0.21	0.07	0.09	0.09	0.31	0.06	0.03	0.09	0.11	0.14	0.06	0.1
Acidihalobacter	0.01	0	0.02	0	0.01	0.02	0.04	0.03	0.01	0.02	0.02	0.02	0.01	0	0.05	0.01	0.02	0.01	0.1
Asticcacaulis	0.04	0	0.06	0.13	0.11	0.06	0.02	0.01	0.05	0.02	0.02	0.03	0	0.17	0.02	0.04	0.05	0.01	0.1
Umezawaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.1
Pseudenhygromyxa	0.03	0	0.01	0	0	0	0.04	0.02	0	0.02	0.01	0.04	0	0.01	0	0.01	0.01	0.01	0.1
Bacteriovorax	0	0	0.02	0.01	0.03	0.02	0.03	0.01	0.03	0.01	0	0	0.03	0.03	0.01	0.03	0.02	0.01	0.1
Thermoleophilum	0	0.02	0.02	0.01	0.03	0.01	0.01	0.03	0.02	0.01	0.01	0.01	0.04	0	0.04	0	0	0.01	0.1
Shimazuella	0	0.06	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0.1	0	0	0.1
Starkeya	0	0.03	0	0	0.01	0.03	0.01	0.02	0	0.01	0.02	0	0	0	0	0.01	0	0.01	0.1
Skermanella	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0.17	0	0	0	0.1
Anaeromyxobacter	0.04	0.01	0.01	0.02	0	0	0.01	0.05	0.05	0	0.05	0.04	0.06	0.04	0.09	0.02	0.05	0.05	0.1
Actinokineospora	0.02	0.02	0	0	0.01	0.01	0	0.01	0	0	0.01	0.03	0.02	0.03	0.01	0	0	0.01	0.1
Schlegelella	0.04	0.04	0.07	0.08	0.06	0.08	0.09	0.03	0.05	0.01	0.13	0.09	0.03	0.07	0.06	0.1	0.01	0	0.1
Ammoniphilus	0.02	0.03	0.04	0.02	0.01	0.03	0.02	0.1	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.1
Alkalihalobacillus	0.01	0.01	0	0	0	0.01	0.01	0.03	0.01	0.03	0	0.15	0	0.01	0.01	0	0	0	0.1
Spirochaeta	0.01	0.01	0.01	0.02	0.01	0	0.02	0.02	0.03	0.03	0.01	0.03	0	0.03	0.02	0.02	0	0.04	0.1
Sphingorhabdus	0	0	0.01	0.01	0.01	0	0	0	0	0	0.02	0	0	0.03	0	0	0.01	0.02	0.1
Solitalea	0.05	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.04	0.02	0	0.01	0.03	0	0.01	0.01	0.1
Ammoniibacillus	0	0.02	0.01	0.01	0.04	0.02	0	0.02	0	0	0	0.01	0	0	0	0.01	0	0	0.1
Sphingobium	0.03	0.06	0.14	0	0.03	0.03	0.04	0.03	0.04	0.02	0.04	0	0.01	0.02	0.03	0.1	0.01	0.06	0.1
Saccharibacteria_genera_incertae_sedis	0	0	0.02	0.02	0.15	0	0	0.09	0	0.02	0.02	0	0	0	0.04	0.01	0	0.05	0.1
Thauera	0.03	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02	0.04	0	0	0.04	0.03	0.01	0.01	0.1
Terribacillus	0.03	0	0	0	0.01	0	0.17	0.02	0.1	0.01	0.01	0.02	0	0	0	0	0	0.03	0.1
Telmatospirillum	0.03	0.01	0	0	0.01	0	0.02	0	0.02	0.02	0.01	0.01	0.02	0.01	0	0.02	0.03	0.02	0.1
Thermogutta	0.01	0	0.03	0.01	0	0	0.01	0	0	0	0.05	0.01	0.01	0	0.02	0	0.01	0	0.1
Actinocorallia	0.98	1.01	0.22	1.43	0.37	0.67	0.58	1.05	0.42	0.81	0.88	0.68	1.27	1.29	0.7	1	1.38	0.75	0.1
Archangium	0.01	0.01	0	0.01	0	0	0.02	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.05	0.03	0.01	0.02	0.1
Rhodopseudomonas	0.06	0.02	0.11	0	0	0	0	0	0	0	0	0.01	0.02	0.02	0	0	0.02	0	0.1
Sulfuricaulis	0.02	0.02	0.01	0	0	0	0.03	0.06	0.01	0.04	0.04	0.02	0	0.01	0.02	0.06	0	0.02	0.1
Roseisolibacter	0.04	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0	0	0.01	0.01	0.01	0.03	0.1
Rudaea	0	0.03	0	0.01	0	0	0.02	0	0	0	0	0	0	0	0	0.05	0.01	0.01	0.1
Romboutsia	0	0	0.02	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0.07	0	0	0	0.01	0.01	0.01	0.1
Syntrophobacter	0.02	0	0.01	0.01	0	0	0.01	0.02	0	0.03	0.01	0.02	0	0.01	0.03	0.01	0.01	0.01	0.1
Antribacter	0.03	0.02	0	0	0.01	0.03	0	0.01	0.01	0	0.03	0	0.01	0.04	0.04	0.03	0	0.01	0.1
Polymorphospora	0.08	0.15	0.12	0.03	0.02	0.03	0.14	0.15	0.05	0.11	0.09	0.07	0.09	0.14	0.19	0.16	0.02	0.17	0.1
Cystobacter	0.06	0.03	0	0	0	0	0.03	0.03	0.01	0.14	0.01	0	0	0	0.01	0.03	0	0	0.1
Legionella	0	0.01	0	0.01	0.01	0	0.03	0.02	0	0.02	0	0	0.01	0.03	0.01	0.02	0.02	0	0.1
Luteimonas	0	0.02	0	0.02	0.01	0.01	0.01	0	0.04	0	0.01	0	0	0.02	0	0.01	0	0.02	0.1
Longimicrobium	0.07	0.1	0.04	0.05	0.04	0.08	0.08	0.1	0.05	0.06	0.07	0.06	0.05	0.04	0.04	0.11	0.07	0.07	0.1
Dissulfuribacter	0.01	0.02	0.01	0	0	0	0.03	0.03	0.02	0.02	0.02	0.02	0	0.02	0.03	0.02	0.01	0.01	0.1
Dokdonella	0.05	0.02	0.05	0.04	0.03	0.02	0.04	0.05	0.02	0	0.03	0.02	0.05	0.03	0.07	0.02	0.04	0.07	0.1
Desertimonas	0.01	0.03	0.03	0.01	0.02	0.01	0.05	0.01	0.02	0.04	0.01	0.07	0.01	0.01	0.01	0.01	0.04	0.06	0.1
Desulfuromonas	0.01	0.02	0.02	0	0	0.06	0	0.02	0.04	0.02	0.05	0.02	0.02	0.04	0.1	0.01	0.02	0.05	0.1
Luteivirga	0.02	0	0.01	0.02	0	0.01	0.03	0.02	0.04	0.03	0.01	0.01	0.03	0.02	0.01	0.01	0	0.02	0.1
Cryobacterium	0.01	0	0	0	0	0.03	0.03	0.04	0.07	0	0.13	0	0.02	0	0.02	0.02	0.02	0.01	0.1
Mesobacillus	0.01	0	0.01	0	0	0.01	0.01	0.02	0.04	0.03	0.02	0.03	0.01	0	0.01	0.01	0.02	0.01	0.1
Methylobacillus	0.03	0	0	0.04	0.02	0.03	0.01	0.02	0.02	0.03	0.02	0.01	0.01	0.03	0.03	0.01	0.01	0.03	0.1
Metabacillus	0.01	0	0.01	0	0	0.01	0.04	0.02	0.01	0	0.03	0.02	0	0	0.01	0.01	0	0	0.1
Lysinibacillus	0.02	0.01	0	0	0.01	0.01	0.05	0.02	0.02	0	0.01	0.21	0	0	0	0	0.02	0.01	0.1
Luteolibacter	0	0	0.03	0	0.01	0	0.02	0.01	0.07	0.01	0.07	0.06	0.01	0.06	0.01	0.03	0.03	0.01	0.1
Cryomorpha	0.01	0	0	0	0	0	0	0	0.02	0.04	0	0	0.01	0	0.01	0.02	0.01	0.01	0.1
Cryptosporangium	0.01	0	0.01	0	0	0.04	0	0.01	0	0.01	0.01	0.04	0.01	0	0	0.03	0.04	0.01	0.1
Geminisphaera	0	0	0.01	0.01	0.01	0.03	0.02	0	0.07	0.03	0.1	0.07	0.08	0.05	0.06	0.02	0.05	0.01	0.1
Guyparkeria	0.05	0.06	0.02	0.04	0	0.04	0.07	0.1	0.09	0.03	0.09	0.08	0.03	0.02	0.12	0.09	0.02	0.08	0.1
Herminiimonas	0.04	0.02	0.01	0.34	0.01	0.14	0	0.04	0.1	0.01	0.03	0.03	0.02	0.03	0.02	0.01	0.02	0	0.1
Helicobacter	0.07	0.01	0.01	0.01	0.03	0.02	0.1	0.11	0.04	0.1	0.02	0.01	0.02	0.07	0.09	0.05	0.08	0.05	0.1
Gordonia	0	0	0.04	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.03	0.02	0	0.1
Geodermatophilus	0	0.02	0	0	0.01	0.01	0.02	0.04	0.04	0	0.02	0.04	0	0.02	0.02	0.02	0.03	0.02	0.1
Gp6	0.01	0.04	0	0.01	0	0	0.12	0.02	0.05	0.03	0.09	0.11	0.03	0.01	0.04	0.05	0	0.02	0.1
Gp3	0.01	0.04	0.01	0.01	0	0.01	0.03	0.02	0.05	0.02	0.01	0	0	0.01	0.03	0	0	0.01	0.1
Fodinicola	0.03	0.01	0	0	0	0.03	0.03	0.03	0	0.01	0.01	0.02	0.01	0	0.02	0.04	0	0.01	0.1
Falsibacillus	0.01	0.01	0	0	0.02	0	0.01	0.01	0.02	0.01	0.02	0.02	0	0.01	0.01	0.01	0	0.01	0.1
Intrasporangium	0.02	0.09	0.05	0.02	0.02	0.02	0	0.02	0.02	0.01	0	0.03	0.01	0.02	0.02	0.05	0	0.01	0.1
Kibdelosporangium	0.24	0.28	0.05	3.37	1.44	0.09	0.34	0.57	0.24	0.57	0.28	0.31	0.9	0.11	0.34	0.37	0.23	0.59	0.1
Dyella	0.07	0.06	0.05	0.06	0.11	0.11	0.05	0.05	0.19	0.06	0.02	0.06	0.15	0.08	0.05	0.03	0.11	0.04	0.1
Fictibacillus	0.02	0.03	0.02	0	0	0.01	0.02	0	0	0.01	0.04	0.01	0	0.01	0.01	0.02	0.03	0.01	0.1
Flavitalea	0.01	0	0	0	0	0	0.08	0.03	0.03	0.03	0.02	0.04	0.02	0.03	0.04	0	0.01	0.02	0.1
Inhella	0	0	0	0.01	0	0.05	0.01	0	0	0	0	0	0.01	0	0.01	0.02	0.01	0.01	0.1
Ideonella	0.6	0.3	0.38	0.57	0.63	0.78	0.51	0.37	0.68	0.89	0.47	0.32	0.52	0.62	0.6	0.43	0.33	0.44	0.1
Paenarthrobacter	0	0.02	0	0.02	0	0.02	0.01	0.03	0.01	0.01	0.02	0.03	0.03	0	0.02	0.01	0.02	0.04	0.1
Cesiribacter	0	0	0	0	0	0	0.01	0.04	0.01	0.06	0.04	0.02	0.01	0.03	0.04	0.02	0	0.04	0.1
Parablastomonas	0.01	0.02	0.05	0	0.01	0	0.04	0	0.01	0	0.02	0.02	0.01	0.01	0	0.01	0.01	0	0.1
Paenisporosarcina	0.03	0.03	0.02	0.06	0.01	0.01	0.04	0	0.04	0.01	0.11	0.05	0.01	0.02	0.02	0.02	0.02	0.03	0.1
Oceanibaculum	0.03	0.05	0.01	0.02	0	0.02	0.03	0.06	0.05	0.02	0.04	0.06	0.04	0.03	0.01	0.02	0.02	0.03	0.1
Novimethylophilus	0.08	0.06	0.1	0.05	0.11	0.07	0.04	0.03	0.07	0.04	0.1	0.03	0.12	0.14	0.06	0.08	0.09	0.07	0.1
Oryzihumus	0.03	0.07	0.02	0.01	0.03	0.04	0.04	0.11	0.04	0.01	0.02	0.07	0.04	0.01	0.06	0.01	0.04	0.03	0.1
Opitutus	0	0	0	0	0	0	0	0.02	0.02	0.01	0.01	0.09	0.02	0.01	0.03	0.03	0	0.02	0.1
Cellulosimicrobium	0.06	0	0	0	0	0	0.01	0.02	0	0.01	0	0.08	0.1	0	0.02	0	0	0.01	0.1
Brucella	0	0	0.06	0	0.01	0.03	0.01	0	0	0	0	0	0	0.04	0	0.02	0.02	0.01	0.1
Caenimonas	0.03	0.02	0.02	0.02	0	0.06	0	0.01	0.01	0.03	0.04	0.02	0.01	0.01	0.01	0.02	0	0	0.1
Planotetraspora	0	0	0	0.11	0	0	0	0.04	0	0	0	0	0	0	0.01	0	0.01	0	0.1
Phytohabitans	0.01	0.01	0	0	0	0	0.01	0.06	0.01	0	0	0.01	0.01	0.01	0.01	0.07	0	0.06	0.1
Patulibacter	0.02	0	0.01	0	0.01	0	0.03	0	0	0	0	0	0	0.02	0	0	0.06	0.02	0.1
Pararhizobium	1	1.09	1.87	2.17	2.78	2.02	0.62	0.62	0.79	0.98	1.23	1.01	1.19	1.73	0.77	0.81	1.66	0.79	0.1
Catellatospora	0.15	0.21	0.08	0.18	0.05	0.08	0.29	0.31	0.19	0.11	0.27	0.12	0.23	0.13	0.2	0.09	0.09	0.24	0.1
Catelliglobosispora	0.08	0.05	0.1	0.01	0.03	0.01	0.04	0.08	0.05	0.02	0.03	0.05	0.06	0.03	0.04	0.03	0.03	0.14	0.1
Microlunatus	0.06	0.03	0	0.02	0	0.04	0.06	0.02	0.02	0.02	0	0.01	0.01	0.02	0.02	0	0	0.02	0.1
Coralloluteibacterium	0.04	0.03	0	0.01	0.09	0.05	0.07	0.04	0	0.04	0.03	0.04	0	0.01	0.03	0.18	0.01	0.06	0.1
Mizugakiibacter	0.03	0	0	0.04	0.02	0.05	0	0.01	0.03	0.05	0.04	0.05	0	0.03	0.01	0.02	0.02	0.01	0.1
Comamonas	0.02	0	0.12	0.01	0.03	0.12	0.01	0.03	0.06	0.05	0.04	0.01	0.07	0.07	0	0	0.05	0.01	0.1
Methylophilus	0.01	0	0	0.02	0.02	0.03	0.01	0.01	0.04	0	0.04	0	0.02	0.03	0.05	0.03	0	0.01	0.1
Crocinitomix	0.04	0.03	0.05	0.03	0	0.01	0.08	0.05	0.12	0.11	0.06	0.11	0.07	0.17	0.12	0.12	0.12	0.05	0.1
Methylovorus	0.08	0.19	0.08	0.04	0.1	0.16	0.08	0.07	0.12	0.17	0.04	0.05	0.14	0.07	0.28	0.16	0.13	0.11	0.1
Methyloversatilis	0	0	0	0.01	0	0.02	0	0	0	0.01	0.01	0	0	0.01	0.01	0.03	0.02	0.02	0.1
Mucilaginibacter	0.03	0.02	0	0.04	0.04	0	0	0.02	0	0.01	0.03	0.02	0.02	0.06	0.01	0.02	0.01	0	0.1
Chitinimonas	0.03	0.04	0.01	0.02	0	0.01	0.05	0.03	0.03	0.03	0.09	0.05	0.04	0	0	0	0.01	0.01	0.1
Nocardia	0.08	0.13	0.13	0.01	0.07	0.04	0.06	0.11	0.06	0.11	0.12	0.07	0.17	0.03	0.21	0.12	0.03	0.06	0.1
Novibacillus	0.01	0.02	0.01	0.01	0	0.02	0	0	0.04	0.01	0	0.05	0	0	0.01	0.03	0	0.02	0.1
Nonomuraea	0	0.02	0	0.01	0	0.02	0.01	0	0.01	0.01	0.02	0	0.01	0.02	0.05	0	0.12	0.03	0.1
Clostridium_sensu_stricto	0	0.34	0.02	0.01	0.01	0	0.03	0	0.09	0	0.01	0.01	0	0	0	0	0	0.08	0.1
Cohnella	0.03	0.02	0.01	0.05	0.01	0.01	0.08	0.06	0.01	0.02	0.05	0.07	0	0.02	0.06	0.03	0.04	0.01	0.1
Chlamydia	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
Chryseotalea	0.02	0.02	0.01	0	0	0	0.03	0	0.04	0.04	0.03	0.04	0.02	0.03	0.06	0.01	0.03	0.03	0.1
