,Group1-Group2logFC,Group1-Group2level,Group1-Group2p,Group1-Group3logFC,Group1-Group3level,Group1-Group3p,Group2-Group3logFC,Group2-Group3level,Group2-Group3p,Group1,Group2,Group3
Gemmatimonadetes,0.217398660961753,nosig,0.338810196090049,0.37234400072393,nosig,0.101396057214401,0.154945339762176,nosig,0.495517469541723,0.0300189439565164,0.0247141129324131,0.0229106743897787
Hydrogenedentes,2.03106067973599,nosig,0.280656945099159,-0.00292805937699759,nosig,0.99866676617495,-2.03398873911298,nosig,0.28147978880837,1.07249267679356e-05,2.35645353315375e-06,1.02645451273902e-05
Ignavibacteriae,-1.00226885893198,nosig,0.549527761050295,-1.52189526041329,nosig,0.362624491877936,-0.519626401481305,nosig,0.754875503240573,2.71370760276539e-05,5.72571469081501e-05,8.49290782883889e-05
Latescibacteria,0.33695613409775,nosig,0.271840491366537,0.053661080776183,nosig,0.861028538239782,-0.283295053321567,nosig,0.355712051294242,0.00563605054769046,0.00424211883256554,0.00524592034304017
Microgenomates,-0.212357442946326,nosig,0.560211830998744,-0.538634115173389,nosig,0.138961938608593,-0.326276672227063,nosig,0.370050251964732,0.000889733393050405,0.000976602987883649,0.00126357128526797
Nitrospirae,-0.411797648668208,nosig,0.0829011083522405,0.291764227147113,nosig,0.219732819831964,0.703561875815321,enriched,0.00307398154861157,0.00705712417381584,0.00878212736938674,0.00562678860194546
Pacearchaeota,-0.701582975608241,nosig,0.850604485970691,0,nosig,1,0.476833077070119,nosig,0.898141857022792,0,7.70086157239272e-07,0
Parcubacteria,0.275850003254978,nosig,0.219298109092188,-0.188374129694347,nosig,0.401174411764334,-0.464224132949325,nosig,0.0387114927066581,0.0078574732164701,0.00630723067429859,0.00889099128008512
Planctomycetes,-0.177838275942335,nosig,0.219117512104226,-0.0890016216416136,nosig,0.53858269888286,0.0888366543007214,nosig,0.539341936566686,0.030128189331761,0.0326555279664001,0.0313975804093049
Poribacteria,4.76151638445934,nosig,0.0442150938181308,5.23835127663338,nosig,0.0268604896654273,0.476834892174035,nosig,0.84888405594574,5.07207603550203e-05,2.03839936728084e-06,1.04784238773941e-06
Proteobacteria,-0.117699687738228,nosig,0.305298502799981,-0.0505562757846878,nosig,0.659698070913476,0.0671434119535398,nosig,0.558686269965385,0.39237396712247,0.407222779734511,0.402286991199328
Spirochaetes,1.25111537333608,enriched,0.00219074201323076,-0.118229841043412,nosig,0.767517296233585,-1.36934521437949,depleted,0.000807352650287426,0.000404826605996457,0.000162894757177174,0.000431464681635554
SR1,0,nosig,1,-1.18653658335711,nosig,0.750076867076872,-0.965851954619263,nosig,0.795412001641126,0,0,1.58509754690304e-06
Tenericutes,-1.68163470539658,nosig,0.0540111921353449,-1.57021089530699,nosig,0.072157384712458,0.111423810089593,nosig,0.897220694041948,5.56850997672755e-05,0.000176950000617634,0.000171537229477185
Thaumarchaeota,0.0883108696960024,nosig,0.767042321093381,-0.0944250252556051,nosig,0.751405343300743,-0.182735894951607,nosig,0.539893538021253,0.0144423406302186,0.0127692992650728,0.0149752929184835
Unassigned,0.269365936522689,enriched,0.000362838739751878,0.215132376201828,nosig,0.00440018325569353,-0.0542335603208609,nosig,0.47293507264881,0.167267323640612,0.131553901934465,0.141725270309502
Verrucomicrobia,-0.0866251248820778,nosig,0.434716503096129,-0.205462969905779,nosig,0.0638717482351139,-0.118837845023701,nosig,0.283879662766045,0.0366109497101549,0.0368242071423523,0.0412177658656889
Woesearchaeota,-0.292595498820658,nosig,0.935696334965427,1.79357113573181,nosig,0.625761167543732,2.08616663455247,nosig,0.57022779378449,5.18414835551408e-06,5.99676774218696e-06,1.04784238773941e-06
