ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Amino sugar and nucleotide sugar metabolism	138074.0	147242.0	159933.0	152876.0	165609.0	151200.0	149113.0	137859.0	141688.0	140695.0	156628.0	144978.0	154738.0	164141.0	153217.0	155664.0	166609.0	152052.0	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
Aminoacyl-tRNA biosynthesis	142029.0	143398.0	161205.0	153193.0	174714.0	153582.0	147712.0	134912.0	138651.0	140836.0	155399.0	142538.0	152453.0	167390.0	153527.0	154867.0	164417.0	152858.0	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
Aminobenzoate degradation	114898.0	121803.0	135268.0	128153.0	141831.0	125643.0	108504.0	101121.0	103595.0	108524.0	118248.0	104396.0	119476.0	126358.0	117154.0	123066.0	131539.0	119056.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
Amoebiasis	4511.0	4570.0	4951.0	4833.0	5447.0	4996.0	4379.0	3973.0	4270.0	4411.0	4737.0	4270.0	4885.0	5282.0	4671.0	4661.0	5292.0	4715.0	Human Diseases; Infectious Diseases; Amoebiasis
Amyotrophic lateral sclerosis (ALS)	6496.0	7095.0	8400.0	7872.0	8213.0	7795.0	6949.0	6482.0	6268.0	6454.0	7407.0	6817.0	6510.0	6649.0	6809.0	7096.0	7111.0	7224.0	Human Diseases; Neurodegenerative Diseases; Amyotrophic lateral sclerosis (ALS)
Antigen processing and presentation	3779.0	3480.0	3996.0	3941.0	4753.0	3966.0	3668.0	3309.0	3817.0	3770.0	4014.0	3588.0	4085.0	4647.0	4036.0	4074.0	4478.0	3900.0	Organismal Systems; Immune System; Antigen processing and presentation
Apoptosis	2592.0	2568.0	3552.0	3177.0	3851.0	3434.0	2683.0	2296.0	1933.0	2248.0	2843.0	2551.0	2171.0	2453.0	2395.0	2673.0	2576.0	2560.0	Cellular Processes; Cell Growth and Death; Apoptosis
Arachidonic acid metabolism	16383.0	15289.0	17845.0	17474.0	20718.0	17853.0	15678.0	13718.0	14986.0	15612.0	16800.0	15013.0	16595.0	19098.0	16550.0	16844.0	18071.0	16601.0	Metabolism; Lipid Metabolism; Arachidonic acid metabolism
Arginine and proline metabolism	210627.0	215562.0	243122.0	232788.0	263114.0	231091.0	212564.0	198442.0	202979.0	208325.0	229117.0	207057.0	226382.0	245796.0	223463.0	229334.0	247011.0	224760.0	Metabolism; Amino Acid Metabolism; Arginine and proline metabolism
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	31.0	35.0	41.0	Human Diseases; Cardiovascular Diseases; Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Ascorbate and aldarate metabolism	33029.0	34078.0	38761.0	37481.0	41880.0	36501.0	31788.0	29462.0	30818.0	31851.0	34677.0	30883.0	34635.0	37290.0	33956.0	35620.0	37795.0	34576.0	Metabolism; Carbohydrate Metabolism; Ascorbate and aldarate metabolism
Atrazine degradation	16470.0	15500.0	18585.0	18245.0	22060.0	17843.0	14253.0	13620.0	15016.0	15458.0	16540.0	13968.0	17417.0	19662.0	16378.0	17316.0	19145.0	16383.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Atrazine degradation
Bacterial chemotaxis	125015.0	107399.0	132193.0	135027.0	167913.0	140696.0	112958.0	96811.0	108199.0	115379.0	123470.0	109877.0	119027.0	145006.0	119792.0	123065.0	129394.0	121513.0	Cellular Processes; Cell Motility; Bacterial chemotaxis
Bacterial invasion of epithelial cells	47.0	67.0	58.0	32.0	56.0	71.0	341.0	231.0	183.0	119.0	310.0	339.0	305.0	257.0	239.0	192.0	333.0	134.0	Human Diseases; Infectious Diseases; Bacterial invasion of epithelial cells
Bacterial motility proteins	335219.0	280284.0	351639.0	357217.0	453798.0	372410.0	302161.0	259459.0	293240.0	307973.0	334161.0	295942.0	323616.0	400090.0	327476.0	336050.0	354144.0	329402.0	Cellular Processes; Cell Motility; Bacterial motility proteins
Bacterial secretion system	149030.0	130979.0	164195.0	161401.0	200172.0	166705.0	134982.0	117407.0	130697.0	137938.0	148575.0	130478.0	144314.0	172980.0	145083.0	148489.0	157435.0	147428.0	Environmental Information Processing; Membrane Transport; Bacterial secretion system
Bacterial toxins	13505.0	14066.0	15409.0	14701.0	16369.0	14755.0	13695.0	12613.0	13358.0	13515.0	14866.0	13413.0	14608.0	16078.0	14471.0	15066.0	16024.0	14531.0	Environmental Information Processing; Signaling Molecules and Interaction; Bacterial toxins
Basal transcription factors	1060.0	1529.0	1332.0	1358.0	1007.0	1163.0	1162.0	1307.0	1265.0	1152.0	1267.0	1101.0	1394.0	1241.0	1302.0	1336.0	1372.0	1326.0	Genetic Information Processing; Transcription; Basal transcription factors
Base excision repair	77278.0	82020.0	89142.0	84765.0	92393.0	83132.0	78103.0	73885.0	76103.0	76528.0	84297.0	75636.0	83845.0	90101.0	83357.0	84798.0	90676.0	83648.0	Genetic Information Processing; Replication and Repair; Base excision repair
Benzoate degradation	144375.0	146489.0	169036.0	158983.0	185056.0	156254.0	130764.0	124774.0	128018.0	134844.0	146176.0	127137.0	146419.0	160795.0	143939.0	151279.0	162266.0	146800.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Benzoate degradation
Betalain biosynthesis	782.0	895.0	935.0	904.0	814.0	906.0	832.0	733.0	848.0	854.0	787.0	770.0	912.0	806.0	841.0	859.0	828.0	878.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Betalain biosynthesis
Bile secretion	660.0	1072.0	928.0	846.0	683.0	734.0	694.0	730.0	696.0	693.0	746.0	694.0	913.0	782.0	784.0	969.0	1200.0	846.0	Organismal Systems; Digestive System; Bile secretion
Biosynthesis and biodegradation of secondary metabolites	15337.0	16094.0	17810.0	17218.0	19200.0	16974.0	14493.0	13514.0	14532.0	14954.0	16100.0	14339.0	16505.0	17799.0	15547.0	16856.0	18583.0	15760.0	Unclassified; Metabolism; Biosynthesis and biodegradation of secondary metabolites
Biosynthesis of 12-, 14- and 16-membered macrolides	591.0	962.0	758.0	864.0	527.0	543.0	591.0	744.0	820.0	663.0	775.0	593.0	903.0	704.0	756.0	848.0	680.0	767.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of 12-, 14- and 16-membered macrolides
Biosynthesis of ansamycins	12596.0	12239.0	14702.0	13932.0	16427.0	13460.0	11566.0	10789.0	11882.0	12184.0	12713.0	11059.0	13118.0	14821.0	12571.0	13182.0	14352.0	12968.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of ansamycins
Biosynthesis of siderophore group nonribosomal peptides	9821.0	11382.0	11354.0	10873.0	10955.0	10982.0	10387.0	9387.0	9180.0	9933.0	10671.0	9873.0	10849.0	10707.0	10538.0	10742.0	12139.0	10534.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of siderophore group nonribosomal peptides
Biosynthesis of type II polyketide backbone	808.0	1320.0	913.0	853.0	526.0	844.0	700.0	990.0	1320.0	937.0	946.0	757.0	1091.0	957.0	820.0	1051.0	1650.0	961.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide backbone
Biosynthesis of type II polyketide products	255.0	507.0	441.0	348.0	218.0	307.0	251.0	303.0	304.0	327.0	309.0	252.0	398.0	327.0	263.0	434.0	761.0	391.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of type II polyketide products
Biosynthesis of unsaturated fatty acids	52403.0	56087.0	60841.0	57724.0	63223.0	57615.0	53479.0	49960.0	50925.0	52249.0	57246.0	52090.0	56216.0	59422.0	55742.0	58033.0	61889.0	56492.0	Metabolism; Lipid Metabolism; Biosynthesis of unsaturated fatty acids
Biosynthesis of vancomycin group antibiotics	7106.0	7401.0	8224.0	7756.0	8415.0	7693.0	7784.0	7081.0	7464.0	7163.0	8121.0	7660.0	7967.0	8539.0	7923.0	7908.0	8453.0	7889.0	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of vancomycin group antibiotics
Biotin metabolism	22250.0	22135.0	25119.0	23862.0	26653.0	24242.0	23342.0	21249.0	22237.0	22405.0	24546.0	22531.0	24485.0	27023.0	24482.0	24669.0	26054.0	24225.0	Metabolism; Metabolism of Cofactors and Vitamins; Biotin metabolism
Bisphenol degradation	29750.0	35310.0	36496.0	34094.0	33468.0	32743.0	30377.0	28658.0	28131.0	29374.0	32147.0	29072.0	32231.0	30985.0	32022.0	33636.0	35340.0	32203.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Bisphenol degradation
Bladder cancer	1586.0	2015.0	2149.0	1995.0	1926.0	1886.0	1565.0	1715.0	1632.0	1572.0	1883.0	1585.0	1795.0	1741.0	1734.0	1902.0	2027.0	1865.0	Human Diseases; Cancers; Bladder cancer
Butanoate metabolism	228378.0	233556.0	266767.0	251071.0	287739.0	248177.0	215577.0	202912.0	208361.0	216828.0	236656.0	208314.0	234571.0	256832.0	232297.0	242043.0	259025.0	237156.0	Metabolism; Carbohydrate Metabolism; Butanoate metabolism
Butirosin and neomycin biosynthesis	7004.0	8305.0	8030.0	7818.0	7707.0	7419.0	7878.0	7615.0	7652.0	7330.0	8375.0	7771.0	8412.0	8482.0	8188.0	8445.0	8985.0	8027.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Butirosin and neomycin biosynthesis
C5-Branched dibasic acid metabolism	50253.0	49936.0	57260.0	54447.0	63275.0	54544.0	50404.0	45964.0	46998.0	48666.0	53454.0	48368.0	52392.0	57997.0	52628.0	53560.0	56832.0	53125.0	Metabolism; Carbohydrate Metabolism; C5-Branched dibasic acid metabolism
CAM ligands	17.0	19.0	22.0	2.0	4.0	6.0	9.0	12.0	20.0	11.0	6.0	16.0	9.0	6.0	7.0	9.0	11.0	11.0	Environmental Information Processing; Signaling Molecules and Interaction; CAM ligands
Caffeine metabolism	678.0	1034.0	1041.0	927.0	789.0	808.0	658.0	817.0	803.0	732.0	864.0	705.0	909.0	723.0	811.0	930.0	1043.0	890.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Caffeine metabolism
Calcium signaling pathway	14.0	27.0	42.0	9.0	36.0	41.0	255.0	188.0	161.0	88.0	239.0	272.0	276.0	232.0	193.0	149.0	293.0	85.0	Environmental Information Processing; Signal Transduction; Calcium signaling pathway
Caprolactam degradation	61607.0	67592.0	74334.0	68769.0	74675.0	67789.0	59735.0	56969.0	55124.0	58595.0	64989.0	57447.0	63748.0	65644.0	64058.0	66046.0	69551.0	64971.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Caprolactam degradation
Carbohydrate digestion and absorption	1038.0	1223.0	999.0	1209.0	912.0	1178.0	1269.0	1217.0	1466.0	1254.0	1341.0	1286.0	1531.0	1468.0	1273.0	1226.0	1461.0	1124.0	Organismal Systems; Digestive System; Carbohydrate digestion and absorption
Carbohydrate metabolism	14956.0	18879.0	18265.0	17464.0	16359.0	16877.0	18167.0	17762.0	17400.0	16425.0	19451.0	18527.0	19021.0	18028.0	17926.0	18322.0	20357.0	17064.0	Unclassified; Metabolism; Carbohydrate metabolism
Carbon fixation in photosynthetic organisms	86257.0	79083.0	96754.0	90989.0	112253.0	90982.0	84622.0	75723.0	81331.0	83557.0	90983.0	80857.0	90745.0	105739.0	89726.0	91470.0	99270.0	89221.0	Metabolism; Energy Metabolism; Carbon fixation in photosynthetic organisms
Carbon fixation pathways in prokaryotes	186437.0	184989.0	213637.0	200380.0	233291.0	200238.0	183265.0	170354.0	176226.0	181282.0	197399.0	177158.0	194032.0	216494.0	194845.0	199144.0	209907.0	196190.0	Metabolism; Energy Metabolism; Carbon fixation pathways in prokaryotes
Cardiac muscle contraction	10989.0	8357.0	11565.0	11361.0	15284.0	11711.0	8896.0	7476.0	8811.0	9535.0	10144.0	8491.0	9681.0	12776.0	10027.0	10519.0	10913.0	10294.0	Organismal Systems; Circulatory System; Cardiac muscle contraction
Carotenoid biosynthesis	7905.0	8726.0	9463.0	8255.0	8960.0	8697.0	10437.0	8824.0	8741.0	8489.0	10055.0	9897.0	10183.0	10060.0	9731.0	9434.0	10897.0	8822.0	Metabolism; Metabolism of Terpenoids and Polyketides; Carotenoid biosynthesis
Cell cycle	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	Cellular Processes; Cell Growth and Death; Cell cycle
Cell cycle - Caulobacter	80361.0	75356.0	92503.0	86503.0	105400.0	88298.0	79925.0	71166.0	73238.0	76769.0	85145.0	76026.0	81187.0	93997.0	82418.0	83881.0	89182.0	82850.0	Cellular Processes; Cell Growth and Death; Cell cycle - Caulobacter
Cell cycle - yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Growth and Death; Cell cycle - yeast
Cell division	15073.0	12635.0	16287.0	15648.0	20251.0	16053.0	13649.0	11866.0	13454.0	14151.0	15032.0	13078.0	14771.0	18326.0	14936.0	15344.0	16401.0	15042.0	Unclassified; Cellular Processes and Signaling; Cell division
Cell motility and secretion	52301.0	43384.0	54591.0	53427.0	69090.0	56207.0	48648.0	40894.0	45950.0	48956.0	52506.0	46582.0	50899.0	62136.0	52270.0	52878.0	55308.0	51717.0	Unclassified; Cellular Processes and Signaling; Cell motility and secretion
Cellular antigens	15646.0	15174.0	17919.0	17069.0	20128.0	17398.0	14964.0	13653.0	14816.0	15127.0	16238.0	14387.0	16227.0	17993.0	15852.0	16373.0	17611.0	16236.0	Environmental Information Processing; Signaling Molecules and Interaction; Cellular antigens
Chagas disease (American trypanosomiasis)	2030.0	2274.0	2661.0	2413.0	2630.0	2550.0	2178.0	2205.0	2011.0	2071.0	2423.0	2103.0	2059.0	2161.0	2216.0	2163.0	2257.0	2335.0	Human Diseases; Infectious Diseases; Chagas disease (American trypanosomiasis)
Chaperones and folding catalysts	160945.0	145334.0	173660.0	168453.0	206490.0	172514.0	155369.0	137333.0	150525.0	155057.0	168137.0	150725.0	165849.0	194529.0	166449.0	169045.0	180872.0	165051.0	Genetic Information Processing; Folding, Sorting and Degradation; Chaperones and folding catalysts
Chloroalkane and chloroalkene degradation	60117.0	61326.0	70741.0	67035.0	76321.0	65187.0	58960.0	53431.0	54893.0	57522.0	63531.0	56634.0	62867.0	68274.0	61653.0	64773.0	69061.0	62730.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Chloroalkane and chloroalkene degradation
Chlorocyclohexane and chlorobenzene degradation	30906.0	29554.0	35375.0	33697.0	41102.0	32932.0	27994.0	25025.0	26122.0	28659.0	31298.0	26298.0	31757.0	36428.0	30613.0	32456.0	35597.0	31419.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Chlorocyclohexane and chlorobenzene degradation
Cholinergic synapse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Organismal Systems; Nervous System; Cholinergic synapse
Chromosome	205100.0	188371.0	226630.0	218725.0	265342.0	220933.0	200175.0	178663.0	193417.0	197798.0	216052.0	193518.0	212926.0	247796.0	213487.0	217610.0	232298.0	212904.0	Genetic Information Processing; Replication and Repair; Chromosome
Chronic myeloid leukemia	6.0	8.0	7.0	4.0	4.0	8.0	24.0	14.0	12.0	9.0	10.0	20.0	7.0	8.0	10.0	12.0	7.0	9.0	Human Diseases; Cancers; Chronic myeloid leukemia
Circadian rhythm - plant	1182.0	1585.0	1318.0	1185.0	859.0	1163.0	1580.0	1457.0	1490.0	1393.0	1431.0	1539.0	1395.0	1274.0	1462.0	1444.0	1432.0	1350.0	Organismal Systems; Environmental Adaptation; Circadian rhythm - plant
Citrate cycle (TCA cycle)	136524.0	139354.0	158409.0	148787.0	169471.0	146986.0	134080.0	126823.0	131164.0	133315.0	145236.0	130352.0	143237.0	157372.0	142978.0	147649.0	155739.0	145653.0	Metabolism; Carbohydrate Metabolism; Citrate cycle (TCA cycle)
Clavulanic acid biosynthesis	186.0	262.0	305.0	217.0	186.0	208.0	158.0	258.0	319.0	214.0	242.0	183.0	204.0	194.0	233.0	313.0	207.0	214.0	Metabolism; Biosynthesis of Other Secondary Metabolites; Clavulanic acid biosynthesis
Colorectal cancer	2165.0	2212.0	3156.0	2655.0	3276.0	2825.0	2329.0	2014.0	1577.0	1881.0	2452.0	2149.0	1766.0	1965.0	2017.0	2186.0	2161.0	2187.0	Human Diseases; Cancers; Colorectal cancer
Complement and coagulation cascades	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Immune System; Complement and coagulation cascades
Cyanoamino acid metabolism	43264.0	44864.0	49597.0	47429.0	52854.0	47113.0	43171.0	39580.0	41482.0	42501.0	46227.0	41434.0	46462.0	50300.0	45180.0	46795.0	51197.0	45802.0	Metabolism; Metabolism of Other Amino Acids; Cyanoamino acid metabolism
Cysteine and methionine metabolism	124792.0	123615.0	140778.0	134938.0	153111.0	135572.0	127397.0	115182.0	121049.0	122763.0	134912.0	122855.0	131967.0	145954.0	132567.0	134751.0	141490.0	133066.0	Metabolism; Amino Acid Metabolism; Cysteine and methionine metabolism
Cytochrome P450	191.0	248.0	214.0	161.0	110.0	158.0	190.0	191.0	350.0	236.0	215.0	190.0	253.0	186.0	219.0	261.0	289.0	218.0	Metabolism; Enzyme Families; Cytochrome P450
Cytokine receptors	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine receptors
Cytokine-cytokine receptor interaction	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine-cytokine receptor interaction
Cytoskeleton proteins	40359.0	36248.0	44933.0	42822.0	53455.0	43235.0	38488.0	34361.0	37455.0	38362.0	42067.0	37337.0	41803.0	49355.0	41390.0	42288.0	45864.0	40828.0	Cellular Processes; Cell Motility; Cytoskeleton proteins
Cytosolic DNA-sensing pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Immune System; Cytosolic DNA-sensing pathway
D-Alanine metabolism	14964.0	15360.0	17064.0	16165.0	18356.0	16283.0	15168.0	13987.0	14287.0	14661.0	16097.0	14513.0	15603.0	17225.0	15855.0	15991.0	16876.0	15880.0	Metabolism; Metabolism of Other Amino Acids; D-Alanine metabolism
D-Arginine and D-ornithine metabolism	3323.0	2861.0	3679.0	3416.0	4290.0	3500.0	2852.0	2414.0	2728.0	2944.0	3118.0	2621.0	2978.0	3617.0	3117.0	3295.0	3228.0	3203.0	Metabolism; Metabolism of Other Amino Acids; D-Arginine and D-ornithine metabolism
D-Glutamine and D-glutamate metabolism	18635.0	17487.0	20523.0	19824.0	23730.0	19809.0	18469.0	16530.0	17635.0	18303.0	19542.0	17675.0	19753.0	22591.0	19431.0	19680.0	21281.0	19225.0	Metabolism; Metabolism of Other Amino Acids; D-Glutamine and D-glutamate metabolism
DNA repair and recombination proteins	376860.0	372324.0	423383.0	403615.0	464963.0	403417.0	379984.0	348697.0	365859.0	371560.0	406816.0	367139.0	402462.0	449086.0	403038.0	407763.0	434511.0	401112.0	Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins
DNA replication	78711.0	74926.0	88187.0	83376.0	99521.0	82774.0	77375.0	71488.0	75852.0	77513.0	83471.0	74369.0	83043.0	95166.0	83143.0	84347.0	89890.0	83213.0	Genetic Information Processing; Replication and Repair; DNA replication
DNA replication proteins	130232.0	123205.0	145289.0	137986.0	164910.0	138184.0	129604.0	118242.0	125729.0	128149.0	138935.0	124734.0	137214.0	157587.0	138141.0	140080.0	148932.0	137779.0	Genetic Information Processing; Replication and Repair; DNA replication proteins
Dilated cardiomyopathy (DCM)	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	31.0	35.0	41.0	Human Diseases; Cardiovascular Diseases; Dilated cardiomyopathy (DCM)
Dioxin degradation	23064.0	20333.0	24848.0	24003.0	30917.0	23221.0	18872.0	17448.0	19654.0	20865.0	21937.0	17916.0	23260.0	28335.0	22313.0	23454.0	26119.0	21928.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Dioxin degradation
Drug metabolism - cytochrome P450	47991.0	44925.0	54662.0	52671.0	62868.0	54054.0	45500.0	39125.0	41487.0	44388.0	49288.0	43740.0	47367.0	53577.0	47180.0	48952.0	52029.0	47685.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450
Drug metabolism - other enzymes	28869.0	33437.0	35560.0	33277.0	34288.0	32463.0	31348.0	31068.0	30057.0	30027.0	33641.0	30542.0	32719.0	33086.0	32603.0	33035.0	35005.0	33122.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - other enzymes
ECM-receptor interaction	17.0	19.0	22.0	2.0	4.0	6.0	9.0	12.0	20.0	11.0	6.0	16.0	9.0	6.0	7.0	9.0	11.0	11.0	Environmental Information Processing; Signaling Molecules and Interaction; ECM-receptor interaction
Electron transfer carriers	4363.0	4725.0	5408.0	4916.0	5513.0	4710.0	4405.0	4267.0	4167.0	4253.0	4944.0	4377.0	4740.0	5005.0	4756.0	4958.0	5090.0	4702.0	Unclassified; Cellular Processes and Signaling; Electron transfer carriers
Endocrine and other factor-regulated calcium reabsorption	2.0	4.0	2.0	1.0	4.0	4.0	4.0	2.0	4.0	1.0	4.0	2.0	2.0	4.0	3.0	4.0	5.0	2.0	Organismal Systems; Excretory System; Endocrine and other factor-regulated calcium reabsorption
Endocytosis	28.0	40.0	33.0	19.0	14.0	26.0	26.0	23.0	21.0	25.0	16.0	27.0	23.0	14.0	47.0	27.0	23.0	18.0	Cellular Processes; Transport and Catabolism; Endocytosis
Energy metabolism	163058.0	156305.0	183424.0	175080.0	207559.0	176383.0	154109.0	138957.0	148337.0	154520.0	167199.0	148541.0	164688.0	185744.0	165097.0	169455.0	179356.0	167305.0	Unclassified; Metabolism; Energy metabolism
Epithelial cell signaling in Helicobacter pylori infection	6861.0	5856.0	7487.0	7232.0	9135.0	7303.0	6433.0	5865.0	6605.0	6778.0	7024.0	6376.0	7130.0	8374.0	6950.0	7230.0	7881.0	6935.0	Human Diseases; Infectious Diseases; Epithelial cell signaling in Helicobacter pylori infection
ErbB signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Environmental Information Processing; Signal Transduction; ErbB signaling pathway
Ether lipid metabolism	3889.0	4515.0	4307.0	4420.0	4295.0	4800.0	3664.0	3355.0	3710.0	3755.0	3987.0	3625.0	4171.0	4099.0	4062.0	4321.0	4680.0	3983.0	Metabolism; Lipid Metabolism; Ether lipid metabolism
Ethylbenzene degradation	18777.0	18631.0	22242.0	21013.0	24987.0	20399.0	17433.0	16849.0	17413.0	18209.0	19335.0	16938.0	19566.0	21939.0	19071.0	19811.0	21451.0	19479.0	Metabolism; Xenobiotics Biodegradation and Metabolism; Ethylbenzene degradation
Fat digestion and absorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Digestive System; Fat digestion and absorption
Fatty acid biosynthesis	87885.0	91712.0	101877.0	96279.0	106232.0	97109.0	91699.0	85472.0	87303.0	88537.0	96265.0	89166.0	94609.0	101077.0	94317.0	96772.0	102692.0	95238.0	Metabolism; Lipid Metabolism; Fatty acid biosynthesis
Fatty acid elongation in mitochondria	211.0	206.0	172.0	152.0	133.0	250.0	226.0	160.0	171.0	218.0	206.0	205.0	184.0	160.0	211.0	168.0	175.0	187.0	Metabolism; Lipid Metabolism; Fatty acid elongation in mitochondria
Fatty acid metabolism	169866.0	183026.0	202580.0	190190.0	208737.0	186699.0	164494.0	157129.0	157064.0	162909.0	180275.0	159661.0	179063.0	187825.0	177057.0	183976.0	196239.0	179696.0	Metabolism; Lipid Metabolism; Fatty acid metabolism
Fc epsilon RI signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Immune System; Fc epsilon RI signaling pathway
