,KO,OE,WT,mean,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_808,0.00114093251966439,0.000779207928439459,0.000754645142441956,0.0008915951968486,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1700,0.000362368022419078,0.000482262411803919,0.000484940243256638,0.000443190225826545,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1292,5.24851729386448e-05,0.000970755564647831,0.000455890474745953,0.000493043737444143,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_1953,8.302200083022e-05,0.000538557406229299,0.000243581073678772,0.000288386826912764,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned
ASV_2,0.33370765849563,0.156334719044437,0.197439989962661,0.229160789167576,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas_puraquae
ASV_97,0.0124298929572834,0.00676497652438759,0.0100893603076876,0.0097614099297862,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas_puraquae
ASV_350,0.00160585101521018,0.00162246761394068,0.00406765080886218,0.00243198981267101,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Pelomonas_puraquae
ASV_1061,0.00026350510529436,0.000428062535540383,0.00104542065366028,0.000578996098165009,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1580,0.000269496292850042,0.000482132048133224,0.000381681124821022,0.000377769821934763,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_2584,0.000132075700634643,0.000181821014129456,0.000296780856594585,0.000203559190452895,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_145,0.00670820489767272,0.00396345266181971,0.00764422647388704,0.00610529467779316,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Roseateles,Unassigned
ASV_237,0.00565210608903776,0.00379678572898551,0.0056770073539296,0.00504196639065096,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1046,0.00106688462453604,0.000667759240960448,0.000565441530817705,0.000766695132104731,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_2719,5.534800055348e-05,0.00017520413595883,0.000296338063399515,0.000175630066637275,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_1092,0.000805275388981513,0.000544984287716094,0.000779812817227744,0.000710024164641783,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_358,0.00213455829100795,0.00236114335873438,0.00219832067988317,0.00223134077654184,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_1285,0.000398817209463769,0.000544226843189757,0.000486198596167575,0.0004764142162737,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1935,0.0006282964821074,0.000423885366647652,0.000400284437062237,0.000484155428605763,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_1163,0.000328214301352876,0.000666284985115972,0.000668463476221922,0.000554320920896924,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,Rubrivivax_gelatinosus
ASV_79,0.0192426025401884,0.00989859113753371,0.0108633769245412,0.0133348568674211,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_2511,0.000113530897413484,0.00015161900995198,0.000159890818604925,0.00014168024199013,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_2574,0.000106656398091261,0.000210588135367164,0.000268449051885103,0.000195231195114509,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_167,0.00799567860397731,0.00485651332076903,0.00447447707139509,0.00577555633204715,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_234,0.00435579214928531,0.00340856518408871,0.00393273655276449,0.00389903129537951,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_30,0.0310888697996029,0.0296880101030589,0.0290448010771698,0.0299405603266105,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_44,0.0323699360499458,0.0131647384826091,0.0202833689037581,0.0219393478121043,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,Kinneretia_asaccharophila
ASV_293,0.0017886723912338,0.00367938571384619,0.0030373843509347,0.00283514748533823,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Roseateles,Unassigned
ASV_324,0.00351124440603881,0.00291926911960564,0.00355256622664739,0.00332769325076395,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_32,0.0240488229140553,0.0315256311596698,0.0315701698749823,0.0290482079829025,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,Kinneretia_asaccharophila
ASV_111,0.00577621589599669,0.00946049261793888,0.010955589745304,0.0087307660864132,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_595,0.00120089734164674,0.00102763069936971,0.00126173933479336,0.00116342245860327,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Unassigned
ASV_128,0.00532409070463889,0.00809545467455911,0.00758711044608284,0.00700221860842694,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_406,0.00171604269754977,0.00199587106873149,0.00190466779003609,0.00187219385210578,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_132,0.0104036318340571,0.00466455399080258,0.00489289637261849,0.00665369406582606,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_640,0.00147698070020498,0.000816653003043517,0.00131447161083738,0.00120270177136196,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_709,0.000276320413890716,0.00177033452835339,0.0014514612805496,0.00116603874093124,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_748,0.000249887775164097,0.00122051693101526,0.00122428728096313,0.000898230662380829,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_2361,0.000310071390485226,0.000735619251494067,5.29350970900823e-05,0.000366208579689792,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Azohydromonas,Azohydromonas_australica
ASV_3,0.131191227384335,0.140636345030762,0.187782625683103,0.153203399366067,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Rhizobacter,Rhizobacter_bergeniae
ASV_4,0.13458204306465,0.0983773560624097,0.152787867681266,0.128582422269442,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Rhizobacter,Unassigned
ASV_55,0.0122207274042627,0.0184867348927906,0.0260355898213935,0.0189143507061489,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Piscinibacter,Piscinibacter_aquaticus
ASV_547,0.00114985083665787,0.00154036827992477,0.00168670041439264,0.00145897317699176,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Piscinibacter,Piscinibacter_aquaticus
ASV_136,0.00598027980557735,0.00703570825425674,0.00782468713247182,0.00694689173076864,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_605,0.00118407094656908,0.00140606577953222,0.00136908863117659,0.0013197417857593,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_6,0.154890843889117,0.0594878528158644,0.0824929290971877,0.098957208600723,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_17,0.0683547069069241,0.0324575160636101,0.0474113864527311,0.0494078698077551,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_39,0.0351546184308982,0.0164796352293446,0.0210032824859926,0.0242125120487451,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_60,0.0228192791679872,0.0105405768552705,0.0151550260080628,0.0161716273437735,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_253,0.00488137273415055,0.0021708104489196,0.00321943851867436,0.0034238739005815,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_192,0.00625649740213721,0.00349314098076011,0.00486471483063994,0.00487145107117909,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_14,0.0576559077728218,0.0491084184224258,0.065039396763057,0.0572679076527682,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_127,0.00797181500342059,0.00596394692916794,0.007955814278161,0.00729719207024984,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_166,0.0238626193585987,0.0208385780358114,0.0264438109618557,0.0237150027854219,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_212,0.00425110687963757,0.0038271505494993,0.00438705035499266,0.00415510259470984,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_1986,0.000244446007917934,0.000514724898410659,0.000401622041599293,0.000386930982642629,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Aquabacterium_commune
ASV_2062,0.000360176592566334,0.000333930500780818,0.000215008648543353,0.000303038580630168,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_150,0.00621715185063178,0.00548080768806991,0.00716979415086567,0.00628925122985579,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_619,0.00148598890280945,0.00114953592814242,0.00120699041843018,0.00128083841646068,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1476,0.000245468919751986,0.00081724589233433,0.000562361481016652,0.000541692097700989,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_973,0.000912122708882441,0.000335615076854046,0.000831856280646733,0.00069319802212774,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_2250,0.00467010078865536,0.00174658358127496,0.00208653924780275,0.00283440787257769,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_315,0.00311501265814863,0.00235927641351167,0.00285877585483798,0.00277768830883276,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_2461,0.000375204133891183,0.000754830571971698,0.000559908060168228,0.000563314255343703,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_420,0.00207846127293939,0.00241444623091333,0.00155593668759073,0.00201628139714782,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_1072,0.00200495931782063,0.00150258087597148,0.00139216986409353,0.00163323668596188,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_446,0.00169459825325635,0.00187551586957913,0.00112911408640502,0.00156640940308017,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_1425,0.000348478031530241,0.000392427018559861,0.000349771848952806,0.000363558966347636,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Unassigned,Unassigned
ASV_526,0.000944379277797973,0.00254525893408816,0.00164926317906921,0.00171296713031845,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_2543,5.7765478370144e-05,0.000241964179746294,0.000104890140377166,0.000134873266164534,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Aquabacterium_parvum
ASV_94,0.013359903718056,0.008227432442734,0.00858440237897127,0.0100572461799204,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_220,0.00523406768309459,0.00275446856189297,0.00342589366163613,0.00380480996887456,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_593,0.00237449649573687,0.00172504950062961,0.00193515669024225,0.00201156756220291,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_863,0.000565395346417974,0.00117321564402028,0.000349481605156723,0.000696030865198325,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Aquabacterium_parvum
ASV_107,0.0106192853910227,0.00814875418418062,0.0075780967725538,0.00878204544925237,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_123,0.00903966238539782,0.0061033852285917,0.00699415915950958,0.0073790689244997,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Unassigned
ASV_600,0.00146383314228739,0.00114718695913943,0.000993452582152439,0.00120149089452642,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1661,0.000910905232492277,0,5.34773657049654e-05,0.000321460866065748,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_1024,6.01829561868079e-05,0.00175118363603915,0.000241897375184101,0.00068442132247002,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV_1278,0.000383004550306428,0.00072234707400086,0.000405149311603404,0.000503500311970231,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Aquabacterium_commune
ASV_2442,0.000105263150377291,9.09768734490234e-05,0.000351164358653089,0.000182468127493135,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,Aquabacterium_commune
ASV_2856,0.000162128353500277,0.000120076913486252,0.000134872789333358,0.000139026018773296,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned
ASV_100,0.0136497319035143,0.00985429697995295,0.00697965543152034,0.0101612281049959,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_intermedia
ASV_330,0.00304431774185908,0.00292011183705843,0.00218097015796915,0.00271513324562889,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Unassigned
ASV_328,0.00545570550588216,0.00320154746836921,0.00345651572852673,0.00403792290092603,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax_guangxiensis
ASV_421,0.00192372927679708,0.00410674786860795,0.0039937714683125,0.00334141620457251,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV_1911,0.000564224490800098,0.00137619996573349,0.00117975889941507,0.00104006111864955,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Unassigned
ASV_538,0.00177763952663151,0.000749575455038093,0.00140139799123347,0.00130953765763435,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax_soli
ASV_1062,0.00019493143217899,0.000210585895547635,0.00147326106531413,0.00062625946434692,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,Unassigned
ASV_2032,0.000176131331416956,0.000361816082070346,0.00021558725663037,0.000251178223372557,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,Unassigned
ASV_1315,0.000542049245670926,0.000476370982298179,0.000613865762770886,0.000544095330246664,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax_soli
ASV_810,0.000815923006076261,0.00171663847694579,0.00129350998209808,0.00127535715504004,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
